Designator,Mid X,Mid Y,Rotation,Layer
BT1,124.505001,-133.5,0.0,bottom
C1,124.0,-123.0,90.0,top
D1,120.5,-127.5,0.0,top
H1,131.5,-116.5,0.0,top
H2,106.0,-125.5,0.0,top
R1,116.0,-127.5,180.0,top
R2,125.0,-127.5,180.0,top
U1,119.5,-115.0,90.0,bottom
